O mio babbino caro, Lauretta's aria from Gianni Schicchi

O mio babbino caro,		My dear father, 
mi piace è bello, bello;	I like him, he's beautiful, beautiful;
vo'andare in Porta Rossa	I want to go to Porta Rossa
a comperar l'anello!		and buy the ring!
Sì, sì, ci voglio andare!	Yes, yes, I want to go!
e se l'amassi indarno,		And if my love is in vain,
andrei sul Ponte Vecchio,	I would go upon Ponte Vecchio (the old Bridge in Florence),
ma per buttarmi in Arno!	only to jump in the Arno (the river in Florence)
Mi struggo e mi tormento!	I long for him and torment myself
O Dio, vorrei morir!		O God, I'd like to die!
Babbo, pietà, pietà!		Father, have pity, have pity!

Translated by Giuseppe Cusmano (gcusman@tin.it)
