Venite, inginocchiatevi, Susanna's aria from Le Nozze di Figaro

Venite, inginocchiatevi,               	Come, kneel down,
Restate fermo lì,                      	Stay still there,
Pian, piano or vi giratevi,            	Now turn around very slowly,
Bravo, và ben così!                    	Bravo, that's just right!
La faccia ora volgetimi,               	Now turn your face toward me,
Olà! quegli occhi a me,                	Hey! keep your eyes on me,
Dritissimo, guardatemi!                	Right here, look at me!
Madama quì non è.                      	Madame isn't here.
Piu alto quel colletto,                	That neckline higher,
Quel ciglio un po più basso,           	That hem a little lower,
Le mani sotto il petto,                	Your hands below your chest,
Vedremo poscia il passo,               	We'll see how you walk afterwards,
Quando sarete in piè.                  	When you're on your feet.
Mirate il bricconcello,                	Look at the little rascal,
Mirate quanto è bello,                 	Look how beautiful he is, 
Che furba guardatura,                  	What a clever look,
Che vezzo, che figura!                 	What charm, what a figure!
Se l'amano le femmine,                 	If women love him,
Han certo il lor perchè.             	They certainly have their reasons.

Word-by-word translation by Jane Bishop, bishopj@citadel.edu
