Solche hergelaufne Laffen, Osmin's aria from Die Entführung aus dem Serail

Solche hergelaufne Laffen,		These profligate puppies
Die nur nach den Weibern gaffen,	who do nothing but ogle women,
Mag ich vor den Teufel nicht;		I'd rather have the devil;
Denn ihr ganzes Tun und Lassen		for all they ever do
Ist, uns auf den Dienst zu passen;	is watch us at our work;
Doch mich trügt kein solch Gesicht.	but a face like that doesn't deceive me.

Eure Tücken, eure Ränke,		Your tricks, your wiles,
Eure Finten, eure Schwänke		your schemes, your guiles,
sind mir ganz bekannt.			all are known to me.
Mich zu hintergehen,			You'll have to get up early
Müsst ihr früh aufstehen,		to get the better of me;
Ich hab' auch Verstand.			for I know what's what.

Drum, beim Barte des Propheten!		Yes, by the beard of the Prophet!
Ich studiere Tag und Nacht,		I'll not rest, day or night,
Dich so mit Manier zu töten,		till I find a good way to do away with you,
Nimm dich, wie du willst in acht.	watch out how you may.

Erst geköpft, dann gehangen,		First beheaded, then hanged,
dann gespießt auf heiße Stangen;	then impaled on red-hot spikes,
dann vebrannt, dann gebunden,		then burned, then bound
und getaucht; zuletzt geschunden.	and drowned, finally flayed.

Translation by Camila Argolo Freitas Batista (camila@infonet.com.br)
