Ombra mai fu, Serse's aria from Serse

Frondi tenere e belle			Tender and beautiful fronds
Del mio Platano amato,			of my beloved plane tree,
Per voi risplenda il Fato		Let Fate smile upon you .
Tuoni, Lampi, e Procelle		May thunder, lightning, and storms
Non vi oltraggino mai la cara pace,	never bother your dear peace,
Ne giunga a profanarvi Austro rapace.	Nor may you by blowing winds be profaned.

Ombra mai fu			Never was made
Di Vegetabile,			A vegetable (a plant)
Care ed amaile			more dear and loving
Soave piu.			or gentle.
